type,id,name,cp,year_10143,year_09019,year_10148_BISM,year_10148_DA,year_10148_ESD,year_10148_ID,year_10148_NC,year_09119_BISM,year_09119_IDA,year_09119_NC,year_09119_ESDA,year_09119_AIDA,year_09119_MA,year_09119_ORA,year_09119_SA,year_09119_CPA
,78040,The Law and Education,6,,,,,,,,,,,,,,,,
,78042,Environmental Planning and Development Law,6,,,,,,,,,,,,,,,,
,79014,Applied Company Law,6,0,,,,,,,,,,,,,,,
,79017,Taxation Law,6,0,,,,,,,,,,,,,,,
,79605,International Business Transactions and the Law,6,,,,,,,,,,,,,,,,
,97510,Spanish Language and Culture 10,8,,,,,,,,,,,,,,,,
,976404,Contemporary Switzerland,8,,,,,,,,,,,,,,,,
,976451,Contemporary Spain,8,,,,,,,,,,,,,,,,
,21036,Managing Strategic Performance,6,,,,,,,,,,,,,,,,
,21037,Managing Employee Relations,6,,,,,,,,,,,,,,,,
,21129,Introduction to Strategy,6,0,,,,,,,,,,,,,,,
,21227,Innovation and Entrepreneurship,6,0,,,,,,,,,,,,,,,
,21228,Management Consulting,6,0,,,,,,,,,,,,,,,
,21407,Strategic Human Resource Management,6,,,,,,,,,,,,,,,,
,21504,Management Capstone,6,,,,,,,,,,,,,,,,
,21505,Human Resource Management (Capstone),6,,,,,,,,,,,,,,,,
,21510,Managing People and Organisations,6,,,,,,,,,,,,,,,,
,21511,Global Operations and Supply Chain Management,6,,,,,,,,,,,,,,,,
,21512,Understanding Organisations: Theory and Practice,6,,,,,,,,,,,,,,,,
,21513,Business Ethics and Sustainability,6,,,,,,,,,,,,,,,,
,21591,Transnational Management,6,0,,,,,,,,,,,,,,,
,22016,Ethics and Governance,6,,,,,,,,,,,,,,,,
,22107,Accounting for Business Decisions A,6,0,,,,,,,,,,,,,,,
,22207,Accounting for Business Decisions B,6,,,,,,,,,,,,,,,,
,22240,International Accounting,6,,,,,,,,,,,,,,,,
,22320,Accounting for Business Combinations,6,,,,,,,,,,,,,,,,
,22321,Cost Management Systems,6,,,,,,,,,,,,,,,,
,22420,Accounting Standards and Regulations,6,,,,,,,,,,,,,,,,
,22566,Small Business Management and Accounting,6,,,,,,,,,,,,,,,,
,22567,Planning and Control for Small Business Enterprises,6,,,,,,,,,,,,,,,,
,22573,Innovation and Commercialisation,6,,,,,,,,,,,,,,,,
,22575,Accounting Processes and Applications,6,,,,,,,,,,,,,,,,
,24100,Applied Project in Marketing (Capstone),6,,,,,,,,,,,,,,,,
,24108,Marketing Foundations,6,0,,,,,,,,,,,,,,,
,24202,Consumer Behaviour,6,,,,,,,,,,,,,,,,
,24210,Integrated Marketing Communications,6,,,,,,,,,,,,,,,,
,24211,Branding,6,,,,,,,,,,,,,,,,
,24212,Entrepreneurial Marketing,6,,,,,,,,,,,,,,,,
,24222,Marketing Channels,6,,,,,,,,,,,,,,,,
,24223,Product Innovation Marketing,6,,,,,,,,,,,,,,,,
,24224,Pricing Strategies and Tactics,6,,,,,,,,,,,,,,,,
,24331,International Marketing,6,,,,,,,,,,,,,,,,
,24415,Marketing Planning and Strategy,6,,,,,,,,,,,,,,,,
